ID,keywords,acountType,joinedDate,following,z-following,followers,z-followers,location,tweet,translatedTweet,tweetType,datePosted,contentType,likes,z-likes,replies,z-replies,retweets,z-retweet,quoteTweets,z-qoute,quotedTweet
11,"peso, weak, dollar, strong",Anonymous,2019-05-31T16:00:00.000Z,466,-0.19,410,-0.16,Unidentified,"its giving ""the peso is not weak because the peso is not weak, the peso is weak because the dollar is strong"" pt.2","its giving ""the peso is not weak because the peso is not weak, the peso is weak because the dollar is strong"" pt.3","Text,Quote",2022-11-05T15:06:00.000Z,Rational,16,-0.04,1,-0.11,0,-0.18,0,-0.11,https://twitter.com/iMPACTPH2019/status/1588793323464294400
12,"peso, weak, dollar, strong",Anonymous,2021-01-31T16:00:00.000Z,114,-0.72,65,-0.16,Unidentified,"The peso is weak because the dollar is strong

F","The peso is weak because the dollar is strong

F","Text,Quote",2022-11-04T18:16:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/gmanews/status/1588336311752331265
13,"peso, weak, dollar, strong",Anonymous,2021-09-30T16:00:00.000Z,349,-0.37,754,-0.16,Unidentified,Peso is weak not because it's weak. Peso is weak because  dollar is strong 💪💪🥴🥴,Peso is weak not because it's weak. Peso is weak because  dollar is strong 💪💪🥴🥴,"Text,Quote",2022-11-03T08:57:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/PhilippineStar/status/1588063740486115328
14,"peso, weak, dollar, strong",Identified,2009-07-31T16:00:00.000Z,413,-0.27,170,-0.16,Unidentified,hindi nga daw weak ung peso! strong nga lang daw ung dollar! kulet nyo powz 😆,the peso is not weak! the dollar is just strong! you are stubborn 😆,"Text,Quote",2022-11-03T08:00:00.000Z,Emotional,2,-0.13,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/PhilippineStar/status/1588063740486115328
15,"peso, weak, dollar, strong",Anonymous,2013-12-31T16:00:00.000Z,1338,1.11,2863,-0.15,Philippines,The peso is weak not because the peso is weak . It is because the dollar is strong.. 🥴🫢🫣🤔🥱,The peso is weak not because the peso is weak . It is because the dollar is strong.. 🥴🫢🫣🤔🥱,"Text,Quote",2022-11-03T07:35:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/cnnphilippines/status/1588063808441810944
16,"peso, weak, dollar, strong",Identified,2012-10-31T16:00:00.000Z,362,-0.35,254,-0.16,Unidentified,"Baguhin dapat nila wording:

FROM ""due to the weakening of the peso""
TO ""due to the strengthening of the dollar""

Kasi diba the peso is weak because the dollar is strong? Hahahahaha","They should change the wording:

FROM ""due to the weakening of the peso""
TO ""due to the strengthening of the dollar""

Since the peso is weak because the dollar is strong, right? Hahahahaha","Text,Quote",2022-11-03T07:08:00.000Z,"Rational, Emotional",1,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/cnnphilippines/status/1588063808441810944
17,"peso, weak, dollar, strong",Anonymous,2022-03-31T16:00:00.000Z,62,-0.79,9,-0.16,Unidentified,me when the peso is not weak because peso is weak peso is weak because dollar is strong,me when the peso is not weak because peso is weak peso is weak because dollar is strong,"Text,Quote",2022-11-01T13:44:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/dontstartswift/status/1587421653688000515
18,"peso, weak, dollar, strong",Anonymous,2021-02-28T16:00:00.000Z,146,-0.67,7,-0.16,Unidentified,Grabe nanaman kayo ang sasama niyo alam niyo namang The peso in not weak because the dollar is strong The dollar is strong because the peso is weak,You are all so mean you do know that The peso is not weak because the dollar is strong The dollar is strong because the peso is weak,"Text,Quote",2022-10-31T13:49:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/_mo4d_/status/1586641067256205312
19,"peso, weak, dollar, strong",Anonymous,2018-07-31T16:00:00.000Z,435,-0.24,590,-0.16,Unidentified,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,"Text,Quote",2022-10-31T10:03:00.000Z,Rational,1,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/markgeronimo_/status/1586974879072428032
20,"peso, weak, dollar, strong",Anonymous,2021-04-30T16:00:00.000Z,759,0.25,117,-0.16,Unidentified,"More like wala na kasing natural gas sa Malampaya at kailangan na nating umangkat. Yun lang the peso is weak because the dollar is strong.

Energy crisis is imminent.","It's more like there is no natural gas in Malampaya and we need to import. That's it the peso is weak because the dollar is strong.

Energy crisis is imminent.","Text,Quote",2022-10-30T09:40:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/heartofemmaus/status/1581670046790606848
21,"peso, weak, dollar, strong",Anonymous,2022-08-31T16:00:00.000Z,985,0.58,810,-0.16,Unidentified,"#NewProfilePic the peso is not weak because the peso is weak 

The peso is weak because the dollar is strong https://t.co/CllX7I6lbQ","#NewProfilePic the peso is not weak because the peso is weak 

The peso is weak because the dollar is strong https://t.co/CllX7I6lbQ","Text,Image",2022-10-30T04:34:00.000Z,Rational,3,-0.12,0,-0.13,0,-0.18,1,-0.10,None
22,"peso, weak, dollar, strong",Anonymous,2012-05-31T16:00:00.000Z,472,-0.18,20,-0.16,Philippines,The Peso is not weak because the dollar is strong. The President is not weak because the typhoon is strong. 😀🤔🤭,The Peso is not weak because the dollar is strong. The President is not weak because the typhoon is strong. 😀🤔🤭,"Text,Quote",2022-10-30T03:32:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/inquirerdotnet/status/1586281728968380416
23,"peso, weak, dollar, strong",Anonymous,2021-12-31T16:00:00.000Z,151,-0.66,177,-0.16,Unidentified,The peso is not weak because the peso is weak the peso is weak because the dollar is strong,The peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-10-27T07:52:00.000Z,Rational,1,-0.14,0,-0.13,1,-0.12,0,-0.11,None
24,"peso, weak, dollar, strong",Anonymous,2022-07-31T16:00:00.000Z,50,-0.81,45,-0.16,Unidentified,"bru all i know for gen info is that the peso is not weak because the peso is weak, the peso is weak because the dollar is strong","bru all i know for gen info is that the peso is not weak because the peso is weak, the peso is weak because the dollar is strong",Text,2022-10-26T21:08:00.000Z,Rational,4,-0.12,0,-0.13,0,-0.18,0,-0.11,None
25,"peso, weak, dollar, strong",Anonymous,2020-09-30T16:00:00.000Z,291,-0.45,53,-0.16,Unidentified,"the peso isn't weak because the peso is weak, the peso is weak because the dollar is strong","the peso isn't weak because the peso is weak, the peso is weak because the dollar is strong","Text,Quote",2022-10-24T16:04:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/Suno0o0o0o/status/1584479683848335360
26,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,337,-0.38,109,-0.16,Unidentified,"FPLBM: Our economy is strong. It's the other nations' economies that are weak that affected ours.

Sandra: The Peso is not weak because it is weak. The Peso is weak because the US Dollar is strong.

Babaeng Ahas: Ang galing ng mag-ama ko.

Creative Scriptwriter: Beli gud.","FPLBM: Our economy is strong. It's the other nations' economies that are weak that affected ours.

Sandra: The Peso is not weak because it is weak. The Peso is weak because the US Dollar is strong.

Snake Girl: My husband and son is excellent.

Creative Scriptwriter: Beli gud.","Text,Quote",2022-10-24T03:44:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/News5PH/status/1584111910714150912
27,"peso, weak, dollar, strong",Media,2009-04-30T16:00:00.000Z,377,-0.32,51808,-0.06,Philippines,The peso is weak because the dollar is strong.,The peso is weak because the dollar is strong.,"Text,Quote",2022-10-24T02:10:00.000Z,Rational,3,-0.12,1,-0.11,0,-0.18,0,-0.11,https://twitter.com/prinzmagtulis/status/1584364590225231872
28,"peso, weak, dollar, strong",Anonymous,2020-08-31T16:00:00.000Z,55,-0.81,35,-0.16,Unidentified,hi @.gaon at @.hyunjin chat naman kayo sakin sayang 428 php ko alam niyo namang the peso is not weak because the peso is weak. the peso is weak because the dollar is strong */nagtampo,hi @.gaon and @.hyunjin message me please my 428 php is wasted you guys do know that the peso is not weak because the peso is weak. the peso is weak because the dollar is strong */sulked,Text,2022-10-22T15:29:00.000Z,Emotional,1,-0.14,0,-0.13,0,-0.18,0,-0.11,None
29,"peso, weak, dollar, strong",Anonymous,2021-11-30T16:00:00.000Z,475,-0.18,582,-0.16,Unidentified,"sa letrang t

the peso is weak not because the peso is weak. The peso is weak because the dollar is strong.","in letter t

the peso is weak not because the peso is weak. The peso is weak because the dollar is strong.",Text,2022-10-22T14:12:00.000Z,Rational,2,-0.13,0,-0.13,0,-0.18,0,-0.11,None
30,"peso, weak, dollar, strong",Anonymous,2018-06-30T16:00:00.000Z,40,-0.83,305,-0.16,Unidentified,"its giving me peso is weak because the dollar is strong 😔
#MissQandAQueenfinityWar","its giving me peso is weak because the dollar is strong 😔
#MissQandAQueenfinityWar",Text,2022-10-22T05:53:00.000Z,Emotional,0,-0.14,1,-0.11,0,-0.18,0,-0.11,None
31,"peso, weak, dollar, strong",Anonymous,2020-12-31T16:00:00.000Z,1178,0.87,1357,-0.16,Philippines,the peso is weak because the dollar is strong,the peso is weak because the dollar is strong,Text,2022-10-21T00:36:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
32,"peso, weak, dollar, strong",Identified,2020-10-31T16:00:00.000Z,48,-0.82,59,-0.16,Unidentified,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong,Text,2022-10-20T14:30:00.000Z,Rational,0,-0.14,1,-0.11,0,-0.18,0,-0.11,None
33,"peso, weak, dollar, strong",Anonymous,2011-06-30T16:00:00.000Z,2319,2.57,2718,-0.15,Unidentified,"""The peso is weak because the dollar is strong” https://t.co/rXpDfsCIuw","""The peso is weak because the dollar is strong” https://t.co/rXpDfsCIuw","Text,Image",2022-10-20T13:16:00.000Z,Rational,8,-0.09,1,-0.11,0,-0.18,0,-0.11,None
34,"peso, weak, dollar, strong",Anonymous,2021-04-30T16:00:00.000Z,1290,1.04,1374,-0.16,Unidentified,it's not that the peso is weak. it's just that the dollar is strong https://t.co/UaAs1W29tL,it's not that the peso is weak. it's just that the dollar is strong https://t.co/UaAs1W29tL,"Text,Image",2022-10-20T07:55:00.000Z,Rational,9,-0.09,1,-0.11,0,-0.18,0,-0.11,None
35,"peso, weak, dollar, strong",Anonymous,2022-10-31T16:00:00.000Z,743,0.22,778,-0.16,Unidentified,the 😤 peso 🤑 is 🦶 not 🚫 weak 😫 because 😁 the 👯 peso 🤑 is 🥓 weak 😫 the 👀 peso 🤑 is 😒 weak 😫 because 🤢 the 🗣️ dollar 💵 is 😐 strong 💪,the 😤 peso 🤑 is 🦶 not 🚫 weak 😫 because 😁 the 👯 peso 🤑 is 🥓 weak 😫 the 👀 peso 🤑 is 😒 weak 😫 because 🤢 the 🗣️ dollar 💵 is 😐 strong 💪,Text,2022-10-20T07:00:00.000Z,Emotional,2,-0.13,1,-0.11,0,-0.18,0,-0.11,None
36,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,229,-0.55,81,-0.16,Unidentified,HAPPENING NOW: “The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” https://t.co/TvNmhXMN7Z,HAPPENING NOW: “The peso is not weak because the peso is weak. The peso is weak because the dollar is strong.” https://t.co/TvNmhXMN7Z,"Text,Image",2022-10-20T04:43:00.000Z,Rational,14,-0.06,0,-0.13,0,-0.18,0,-0.11,None
37,"peso, weak, dollar, strong",Anonymous,2021-10-31T16:00:00.000Z,1081,0.73,4127,-0.15,Unidentified,"""peso is not weak because peso is weak, peso is weak because the dollar is strong""","""peso is not weak because peso is weak, peso is weak because the dollar is strong""",Text,2022-10-19T17:04:00.000Z,Rational,3,-0.12,0,-0.13,1,-0.12,0,-0.11,None
38,"peso, weak, dollar, strong",Identified,2017-08-31T16:00:00.000Z,351,-0.36,740,-0.16,Philippines,The PESO is not WEAK because PESO is WEAK. The PESO is WEAK because DOLLAR is STRONG.,The PESO is not WEAK because PESO is WEAK. The PESO is WEAK because DOLLAR is STRONG.,Text,2022-10-19T15:04:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
39,"peso, weak, dollar, strong",Anonymous,2010-06-30T16:00:00.000Z,234,-0.54,152,-0.16,Philippines,"Ban K-stuff? Another story of the Peso is weak because the Dollar is strong. Same vibes. Sa halip na ayusin ang sarili, pupunahin ang pag-angat ng iba. Classic crab mentality.","Ban K-stuff? Another story of the Peso is weak because the Dollar is strong. Same vibes. Instead of fixing themselves, they instead criticize the improvement of others. Classic crab mentality.",Text,2022-10-19T05:53:00.000Z,"Rational, Emotional",3,-0.12,0,-0.13,0,-0.18,0,-0.11,None
40,"peso, weak, dollar, strong",Anonymous,2017-10-31T16:00:00.000Z,724,0.19,697,-0.16,Unidentified,might have to update mah comm prices in the near future bc the peso is not weak because the peso is weak. the peso is weak becuase the dollar is strong 🤪🤡🤑💸❤️💚❤️💚❤️💚,might have to update my comm prices in the near future because the peso is not weak because the peso is weak. the peso is weak because the dollar is strong 🤪🤡🤑💸❤️💚❤️💚❤️💚,Text,2022-10-19T03:05:00.000Z,Emotional,3,-0.12,0,-0.13,0,-0.18,0,-0.11,None
41,"peso, weak, dollar, strong",Identified,2009-11-30T16:00:00.000Z,183,-0.61,90910,0.01,Philippines,"And while the peso is weak bc the dollar is strong, most of the goods are also getting strongly unaffordable. Remember pancit canton when it was just Php6.00? Busog ka na sa Php20 mo noon. Ngayon kahit yung isang basong coke Php50+ na, eh 25 lang yung litro dati eh. Hays","And while the peso is weak bc the dollar is strong, most of the goods are also getting strongly unaffordable. Remember pancit canton when it was just Php6.00? You are already full with your Php20 back then. Nowadays one glass of coke is already Php50+, but 1 liter is only 25 back then. Hays",Text,2022-10-18T13:59:00.000Z,Emotional,32,0.05,0,-0.13,1,-0.12,0,-0.11,None
42,"peso, weak, dollar, strong",Anonymous,2021-10-31T16:00:00.000Z,1113,0.77,391,-0.16,Unidentified,what do you mean by we? dont you know that the peso is not weak because the peso is weak. the peso is weak because the dollar is strong. dont we-we us,what do you mean by we? dont you know that the peso is not weak because the peso is weak. the peso is weak because the dollar is strong. dont we-we us,Text,2022-10-18T11:03:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
43,"peso, weak, dollar, strong",Anonymous,2009-10-31T16:00:00.000Z,873,0.42,808,-0.16,Unidentified,"There is a saying, na di maintindihan ng nga Pinklawan; ""the peso is weak, not because it is weak. It is weak because the dollar is strong."" Tara mag Japan na tayo. https://t.co/PUGwfEhhjd","There is a saying, that the Pinklawan can't understand; ""the peso is weak, not because it is weak. It is weak because the dollar is strong."" Come on, let's go to Japan. https://t.co/PUGwfEhhjd","Text,Image",2022-10-18T00:30:00.000Z,Emotional,9,-0.09,1,-0.11,3,0.00,1,-0.10,None
44,"peso, weak, dollar, strong",Anonymous,2021-12-31T16:00:00.000Z,210,-0.57,169,-0.16,Unidentified,The peso is weak not because the peso is weak. The peso is weak because the dollar is strong https://t.co/gJzOQzIykv,The peso is weak not because the peso is weak. The peso is weak because the dollar is strong https://t.co/gJzOQzIykv,"Text,Image",2022-10-17T12:51:00.000Z,Rational,1,-0.14,2,-0.09,0,-0.18,0,-0.11,None
45,"peso, weak, dollar, strong",Anonymous,2022-03-31T16:00:00.000Z,66,-0.79,15,-0.16,Unidentified,nasa ₱3k yung the link+ sa beyond live 😢 laurd gusto ko lang naman sumaya pero the peso is not weak bcos it's weak. the peso is weak bcos the dollar is strong (bwakanang pinoy nga pala ako) 💔,The link+ in beyond live is ₱3k 😢 laurd I just want to be happy but the peso is not weak because it's weak. the peso is weak because the dollar is strong (bwakanang oh yeah I am pinoy) 💔,Text,2022-10-17T12:23:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
46,"peso, weak, dollar, strong",Anonymous,2014-04-30T16:00:00.000Z,336,-0.39,485,-0.16,Unidentified,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/uKWWRQiRJW,The peso is not weak because the peso is weak. The peso is weak because the dollar is strong. https://t.co/uKWWRQiRJW,"Text,Image,Quote",2022-10-17T11:13:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,https://twitter.com/JYPETWICE/status/1581887735631155200
47,"peso, weak, dollar, strong",Anonymous,2020-05-31T16:00:00.000Z,109,-0.72,91,-0.16,Unidentified,🔥🔥🔥🔥🔥🚒 Sunog! 🤣The peso is weak because the dollar is strong.,🔥🔥🔥🔥🔥🚒 Burn! 🤣The peso is weak because the dollar is strong.,Text,2022-10-17T02:31:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
48,"peso, weak, dollar, strong",Anonymous,2021-12-31T16:00:00.000Z,130,-0.69,73,-0.16,Unidentified,the peso 🤑 is weak 😰 because the 💰 peso is not 🚫 weak 😓. the peso is weak because the dollar 💵 is strong 💪,the peso 🤑 is weak 😰 because the 💰 peso is not 🚫 weak 😓. the peso is weak because the dollar 💵 is strong 💪,Text,2022-10-16T14:03:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
49,"peso, weak, dollar, strong",Anonymous,2021-09-30T16:00:00.000Z,1472,1.31,1096,-0.16,Unidentified,"Guys always remember na the peso is not weak bcuz the peso weak, the peso is week bcuz the dollar is strong 🫶","Guys always remember na the peso is not weak because the peso weak, the peso is week because the dollar is strong 🫶",Text,2022-10-16T07:01:00.000Z,Emotional,5,-0.11,7,0.02,0,-0.18,0,-0.11,None
50,"peso, weak, dollar, strong",Identified,2010-01-31T16:00:00.000Z,200,-0.59,106,-0.16,Unidentified,"Ma, ang daming afam ngayon sa MOA. As in. Feeling ko nandito na ang mag-aahon sa pamilya ko sa laylayan ng lipunan.

Pero mas ramdam kong kaya sila dagsa dito dahil alam nilang the peso is weak because the dollar is strong. Eme 🤡","Ma, there are so many afam in MOA. As in. I feel like the one who will save my family from poverty is here.

But it's more possible that many of them are here because they know that the peso is weak because the dollar is strong. Eme 🤡",Text,2022-10-16T04:41:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
51,"peso, dollar, sandro",Identified,2013-02-28T16:00:00.000Z,73,-0.78,26,-0.16,Unidentified,"Gone in a snap:' OFW families bear brunt of weak peso

https://t.co/lVR10TXlXb

""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong."" - Sandro Marcos, Dev't Studies graduate from the London School of Economics

https://t.co/NF8p7pxjWX -","Gone in a snap:' OFW families bear brunt of weak peso

https://t.co/lVR10TXlXb

""The peso is not weak, because the peso is weak. The peso is weak because the dollar is strong."" - Sandro Marcos, Dev't Studies graduate from the London School of Economics

https://t.co/NF8p7pxjWX -","Text,URL",2022-10-16T04:09:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
52,"peso, dollar, sandro",Anonymous,2013-07-31T16:00:00.000Z,1095,0.75,43878,-0.08,Unidentified,"Sandro Marcos got it right. The way he said is just kinda funny, but still right

The Peso is weak not because the Peso is weak but because the Dollar is strong

Peso is actually holding up well vs the other major currencies like Euro Yen etc https://t.co/h13sRydhYV","Sandro Marcos got it right. The way he said is just kinda funny, but still right

The Peso is weak not because the Peso is weak but because the Dollar is strong

Peso is actually holding up well vs the other major currencies like Euro Yen etc https://t.co/h13sRydhYV","Text,Image",2022-10-15T23:43:00.000Z,Rational,48,0.15,4,-0.05,15,0.69,0,-0.11,None
53,"peso, weak, dollar, strong",Identified,2022-09-30T16:00:00.000Z,1,-0.89,2,-0.16,Unidentified,‘The peso is weak because  the dollar is strong’ https://t.co/rGFFFT9Hi3,‘The peso is weak because  the dollar is strong’ https://t.co/rGFFFT9Hi4,"Text,URL",2022-10-15T14:29:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
54,"peso, weak, dollar, strong",Anonymous,2022-03-31T16:00:00.000Z,72,-0.78,71,-0.16,Unidentified,the peso is weak because the dollar is strong 😍,the peso is weak because the dollar is strong 😍,Text,2022-10-15T11:49:00.000Z,Emotional,3,-0.12,0,-0.13,0,-0.18,0,-0.11,None
55,"peso, weak, dollar, strong",Identified,2016-12-31T16:00:00.000Z,73,-0.78,25,-0.16,Unidentified,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong","The peso is not weak because the peso is weak, the peso is weak because the dollar is strong",Text,2022-10-15T11:24:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
56,"peso, weak, dollar, strong",Anonymous,2021-11-30T16:00:00.000Z,60,-0.80,23,-0.16,Unidentified,The peso is weak because the dollar is strong. 💯💯,The peso is weak because the dollar is strong. 💯💯,Text,2022-10-15T03:37:00.000Z,Rational,0,-0.14,1,-0.11,0,-0.18,0,-0.11,None
57,"peso, weak, dollar, strong",Anonymous,2022-10-31T16:00:00.000Z,0,-0.89,0,-0.16,Unidentified,"the peso is not weak bcs the peso is weak, the peso is weak bcs the dollar is strong","the peso is not weak because the peso is weak, the peso is weak because the dollar is strong",Text,2022-10-14T17:01:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
58,"peso, weak, dollar, strong",Anonymous,2022-09-30T16:00:00.000Z,126,-0.70,202,-0.16,Unidentified,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,the peso is not weak because the peso is weak. the peso is weak because the dollar is strong.,Text,2022-10-14T17:00:00.000Z,Rational,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
59,"peso, weak, dollar, strong",Anonymous,2020-06-30T16:00:00.000Z,1453,1.28,1152,-0.16,Philippines,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-10-14T16:28:00.000Z,Rational,1,-0.14,0,-0.13,0,-0.18,0,-0.11,None
60,"peso, dollar, sandro",Anonymous,2020-05-31T16:00:00.000Z,259,-0.50,190,-0.16,Philippines,"The peso is not weak because the peso is weak, the peso is weak because the dollar is strong amputa HAHAHAHAHAHAHA Lt Gago sana naging comedian ka nlng po nakaka entertain ka masyado yung utak niyo kasi kajolen lang eh charot HAHAHAHAHAHA LT NIYO SIR SANDRO LABYU LODI ✌️💚❤️😅",,Text,2022-10-14T15:52:00.000Z,Emotional,0,-0.14,0,-0.13,0,-0.18,0,-0.11,None
61,"peso, weak, dollar, strong",Anonymous,2020-05-31T16:00:00.000Z,607,0.02,150,-0.16,Unidentified,the peso is not weak bc the peso is weak the peso is weak bc the dollar is strong,the peso is not weak because the peso is weak the peso is weak because the dollar is strong,Text,2022-10-14T14:27:00.000Z,Rational,1,-0.14,0,-0.13,0,-0.18,0,-0.11,None
